timestamp,node,val1,val2,is_sos,msg
2026-05-15T08:59:13.566728,E,0.76,0.0,False,Stable
2026-05-15T08:59:13.618544,C,0.0,0.0,False,
2026-05-15T08:59:13.795665,E,0.79,0.0,False,Stable
2026-05-15T08:59:13.956615,F,39.39,135.0,False,Stable
2026-05-15T08:59:14.088592,E,0.86,0.0,False,Stable
2026-05-15T08:59:14.131594,C,0.0,0.0,False,
2026-05-15T08:59:14.264642,E,0.76,0.0,False,Stable
2026-05-15T08:59:14.540986,E,0.7,0.0,False,Stable
2026-05-15T08:59:14.687592,C,0.0,0.0,False,
2026-05-15T08:59:14.756201,E,0.75,0.0,False,Stable
2026-05-15T08:59:14.988079,E,0.88,0.0,False,Stable
2026-05-15T08:59:15.058813,F,39.05,135.0,False,Stable
2026-05-15T08:59:15.199172,E,0.72,0.0,False,Stable
2026-05-15T08:59:15.254017,C,0.0,0.0,False,
2026-05-15T08:59:15.389608,E,0.8,0.0,False,Stable
2026-05-15T08:59:15.627434,E,0.77,0.0,False,Stable
2026-05-15T08:59:15.756813,C,0.0,0.0,False,
2026-05-15T08:59:15.903962,E,0.85,0.0,False,Stable
2026-05-15T08:59:16.090947,F,40.17,135.0,False,Stable
2026-05-15T08:59:16.162115,E,0.81,0.0,False,Stable
2026-05-15T08:59:16.308275,C,0.0,0.0,False,
2026-05-15T08:59:16.373590,E,0.78,0.0,False,Stable
2026-05-15T08:59:16.585257,E,0.81,0.0,False,Stable
2026-05-15T08:59:16.778051,C,0.0,0.0,False,
2026-05-15T08:59:16.878764,E,0.83,0.0,False,Stable
2026-05-15T08:59:17.036983,E,0.74,0.0,False,Stable
2026-05-15T08:59:17.103031,F,40.17,135.0,False,Stable
2026-05-15T08:59:17.266578,E,0.89,0.0,False,Stable
2026-05-15T08:59:17.326695,C,0.0,0.0,False,
2026-05-15T08:59:17.490004,E,0.81,0.0,False,Stable
2026-05-15T08:59:17.743470,E,0.84,0.0,False,Stable
2026-05-15T08:59:17.811516,C,0.0,0.0,False,
2026-05-15T08:59:17.977149,E,0.74,0.0,False,Stable
2026-05-15T08:59:18.108058,F,0.0,0.0,False,Stable
2026-05-15T08:59:18.153426,E,0.77,0.0,False,Stable
2026-05-15T08:59:18.390850,C,0.0,0.0,False,
2026-05-15T08:59:18.436434,E,0.79,0.0,False,Stable
